,,,,2015,2015,2016,2016,2017,2017,2018,2018,2021,2021
,,,,Total Number with Scored Tests,Average VSS,Total Number with Scored Tests,Average VSS,Total Number with Scored Tests,Average VSS,Total Number with Scored Tests,Average VSS,Total Number with Scored Tests,Average VSS
Grade,Subject,Race/Ethnicity,District,,,,,,,,,,
3,ELA,American Indian or Alaska Native,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
3,ELA,Black or African American,Achievement First Bridgeport Academy District,50,2432,41,2496,58,2479,45,2472,42,2407
3,ELA,Hispanic/Latino of any race,Achievement First Bridgeport Academy District,33,2482,37,2494,29,2461,44,2472,43,2418
3,ELA,White,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
3,ELA,Two or More Races,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
3,ELA,Asian,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
3,Math,American Indian or Alaska Native,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
3,Math,Black or African American,Achievement First Bridgeport Academy District,50,2482,41,2516,58,2503,45,2478,42,2403
3,Math,Hispanic/Latino of any race,Achievement First Bridgeport Academy District,33,2510,37,2509,29,2500,44,2498,43,2405
3,Math,White,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
3,Math,Two or More Races,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
3,Math,Asian,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
4,ELA,American Indian or Alaska Native,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
4,ELA,Black or African American,Achievement First Bridgeport Academy District,47,2501,48,2510,46,2529,52,2542,51,2411
4,ELA,Hispanic/Latino of any race,Achievement First Bridgeport Academy District,42,2495,38,2534,38,2539,*,*,36,2475
4,ELA,White,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
4,ELA,Two or More Races,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
4,ELA,Asian,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
4,ELA,Native Hawaiian or Other Pacific Islander,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
4,Math,American Indian or Alaska Native,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
4,Math,Black or African American,Achievement First Bridgeport Academy District,47,2490,48,2525,46,2537,52,2526,51,2410
4,Math,Hispanic/Latino of any race,Achievement First Bridgeport Academy District,42,2501,38,2547,38,2550,*,*,36,2467
4,Math,White,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
4,Math,Two or More Races,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
4,Math,Asian,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
4,Math,Native Hawaiian or Other Pacific Islander,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
5,ELA,American Indian or Alaska Native,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
5,ELA,Black or African American,Achievement First Bridgeport Academy District,50,2469,48,2469,44,2513,47,2552,42,2487
5,ELA,Hispanic/Latino of any race,Achievement First Bridgeport Academy District,37,2479,41,2470,45,2516,*,*,*,*
5,ELA,White,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
5,ELA,Two or More Races,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
5,ELA,Asian,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
5,ELA,Native Hawaiian or Other Pacific Islander,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
5,Math,American Indian or Alaska Native,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
5,Math,Black or African American,Achievement First Bridgeport Academy District,50,2467,48,2477,44,2509,47,2540,*,*
5,Math,Hispanic/Latino of any race,Achievement First Bridgeport Academy District,37,2469,41,2485,45,2506,*,*,41,2445
5,Math,White,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
5,Math,Two or More Races,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
5,Math,Asian,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
5,Math,Native Hawaiian or Other Pacific Islander,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
6,ELA,Black or African American,Achievement First Bridgeport Academy District,55,2493,47,2495,46,2519,*,*,48,2526
6,ELA,Hispanic/Latino of any race,Achievement First Bridgeport Academy District,35,2467,45,2484,*,*,49,2533,*,*
6,ELA,White,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
6,ELA,Two or More Races,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
6,ELA,Asian,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
6,ELA,Native Hawaiian or Other Pacific Islander,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
6,Math,Black or African American,Achievement First Bridgeport Academy District,55,2476,47,2474,45,2508,*,*,46,2479
6,Math,Hispanic/Latino of any race,Achievement First Bridgeport Academy District,35,2457,45,2479,*,*,49,2524,*,*
6,Math,White,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
6,Math,Two or More Races,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
6,Math,Asian,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
6,Math,Native Hawaiian or Other Pacific Islander,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
7,ELA,American Indian or Alaska Native,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
7,ELA,Black or African American,Achievement First Bridgeport Academy District,51,2509,51,2503,*,*,47,2551,58,2550
7,ELA,Hispanic/Latino of any race,Achievement First Bridgeport Academy District,33,2521,34,2515,42,2531,42,2567,30,2520
7,ELA,White,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
7,ELA,Two or More Races,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
7,ELA,Asian,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
7,Math,American Indian or Alaska Native,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
7,Math,Black or African American,Achievement First Bridgeport Academy District,51,2505,51,2501,*,*,47,2541,58,2481
7,Math,Hispanic/Latino of any race,Achievement First Bridgeport Academy District,33,2516,34,2492,42,2498,42,2527,28,2474
7,Math,White,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
7,Math,Two or More Races,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
7,Math,Asian,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
8,ELA,American Indian or Alaska Native,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
8,ELA,Black or African American,Achievement First Bridgeport Academy District,45,2578,48,2524,53,2560,38,2612,45,2611
8,ELA,Hispanic/Latino of any race,Achievement First Bridgeport Academy District,41,2588,31,2521,34,2562,46,2592,39,2586
8,ELA,White,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
8,ELA,Two or More Races,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
8,ELA,Asian,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
8,ELA,Native Hawaiian or Other Pacific Islander,Achievement First Bridgeport Academy District,*,*,*,*,*,*,*,*,*,*
